Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Kommune,Lat,Lon,Sjøtemperatur
34,2017,13594,TROLLØYA SV,0,0,0,SORTLAND,68.70438,15.0148,11.1
34,2017,11351,TROLLVIKA,0.4,1.2,0,SKÅNLAND,68.71678,17.02287,11
34,2017,10332,TROMMO,,,,KVINNHERAD,60.08243,6.080067,15.53
34,2017,10029,TUHOLMANE Ø,,,,KARMØY,59.37203,5.20965,
34,2017,10147,TUNGESVIK,,,,ETNE,59.74193,5.98095,
34,2017,25855,TUSSØYA,,,,TROMSØ,69.66272,18.17765,
34,2017,10821,TUVAN,0.04,0.06,0,ALTA,70.09161,22.70898,9.6
34,2017,14081,TVEIT,,,,HYLLESTAD,61.11008,5.340483,
34,2017,30717,TVEITNES,,,,KVAM,60.41418,6.402,
34,2017,12077,TVEITNESVIK,0.2,0.15,0,KVINNHERAD,60.10592,6.20525,15.3
34,2017,13562,UFØRO,0,0,0.06,STORD,59.87835,5.526917,15.77
34,2017,10570,ULØY,0,0,0.23,NORDREISA,69.79892,20.64193,10
34,2017,10726,ULØYBUKT,0,0,0,SKJERVØY,69.86008,20.71397,10
34,2017,13570,ULVÆRHOLMEN,0.06,0.51,0.03,HITRA,63.59822,9.116583,14.1
34,2017,13720,ULVAN,,,,HITRA,63.67223,9.0329,
34,2017,12102,ULVENESET,,,,KVINNHERAD,59.99282,5.858417,
34,2017,34737,ULVØYO,,,,HAUGESUND,59.43258,5.10645,
34,2017,32437,URDA,,,,SURNADAL,63.00053,8.325633,
34,2017,32837,URSBAKKEN,,,,NÆRØY,64.77225,11.17833,
34,2017,11533,USHOLMSVIKA,,,,SUND,60.1749,5.0917,
34,2017,24135,UTÅKER,0.01,0.04,0,KVINNHERAD,59.77833,5.9024,15.63
34,2017,14678,UVÅG,,,,BØ I NORDLAND,68.6599,14.67875,
34,2017,35517,VADHOLMEN,0.08,0.37,0,ØYGARDEN,60.695,4.761117,15.54
34,2017,22495,VÆRNES,,,,TORSKEN,69.33597,17.09365,
34,2017,24197,VÆRØYA Ø,,,,HITRA,63.41597,8.483883,
34,2017,10677,VAGNFJORDEN,,,,SØR-VARANGER,69.91855,29.5878,
34,2017,10091,VÅGSØYA,,,,FLORA,61.49038,5.0247,
34,2017,31557,VALØYAN,0.01,0.22,0.06,FRØYA,63.81735,8.462483,13.97
34,2017,13522,VALVIKA,,,,NESNA,66.29887,12.81383,
34,2017,35657,VARDEN,0.41,2.54,0.53,HITRA,63.63572,9.186467,13.84
34,2017,10968,VARDSKJÆR Ø,,,,LURØY,66.35845,12.48502,
34,2017,36337,VARDSKJÆRET S,0.11,0.87,0.03,LURØY,66.35017,12.46927,13.5
34,2017,36317,VARHOLMEN,,,,BRØNNØY,65.54905,12.12642,
34,2017,12303,VARTDAL,,,,ØRSTA,62.3067,6.092083,
34,2017,11137,VASSDALSVIK,,,,MELØY,66.80788,13.56575,
34,2017,18117,VASSVIKA,0.05,0.02,0.03,LOPPA,70.27188,21.6898,9.9
34,2017,11728,VATNØY,,,,GULEN,60.96527,4.907533,
34,2017,13047,VÅTVIKA,,,,VÅGAN,68.22768,14.80522,
34,2017,12678,VEDØYA,,,,FOSNES,64.60743,11.35482,
34,2017,10504,VEDVIKA,0.47,2.66,0,BØ I NORDLAND,68.77659,14.61386,11.6
34,2017,11303,VEGGFJELL,,,,HAMARØY,67.962,15.8058,
34,2017,32637,VEIDNES,0.03,0.03,0.05,BÅTSFJORD,70.54017,30.13612,9
